Date,Open,High,Low,Close,Volume
12/19/2019,85241,86716,84553,86519,1014960
12/20/2019,86519,87011,86322,86814,389360
12/23/2019,87404,89469,87404,89370,937250
12/24/2019,89272,89272,87404,88485,507600
12/25/2019,88485,89370,87502,88387,230880
12/26/2019,88977,88977,87502,87896,404110
12/27/2019,87797,88977,86814,88977,498870
01/02/2020,89469,90660,88973,90065,386290
01/03/2020,90759,91056,89172,89172,536130
01/06/2020,88477,88775,86791,86791,880110
01/07/2020,86295,87188,84708,87089,1013270
01/08/2020,86196,87188,85502,86295,722280
01/09/2020,86990,88180,86990,87982,722670
01/10/2020,87982,89668,87188,88775,1526920
01/13/2020,88279,89073,88279,88676,1044640
01/14/2020,88775,89271,88378,88676,1001130
01/15/2020,88874,88874,88081,88577,1471860
01/16/2020,88577,89569,88180,88775,1171580
01/17/2020,88775,93735,88775,93735,2219790
01/20/2020,93735,94032,92743,93239,832190
01/21/2020,93139,93834,92842,93239,749590
01/22/2020,93239,94231,92346,92643,877710
01/30/2020,91354,91652,86295,88180,3541560
01/31/2020,87287,89073,86990,87982,1270160
02/03/2020,83419,89469,82328,87982,1457070
02/04/2020,88279,89073,86990,89073,1118410
02/05/2020,89469,89668,88081,88180,731310
02/06/2020,88279,90164,88081,88676,889570
02/07/2020,89073,90065,88279,89271,1170540
02/10/2020,88477,88775,87783,88180,607060
02/11/2020,88279,88775,88180,88477,520210
02/12/2020,89073,89073,88378,88676,609750
02/13/2020,88477,88775,88081,88577,633270
02/14/2020,88279,89073,88279,88577,432800
02/17/2020,88577,89172,88378,88676,343900
02/18/2020,88874,88874,88279,88676,432880
02/19/2020,88279,88775,88279,88477,208280
02/20/2020,88973,89668,88477,88775,541120
02/21/2020,88775,88775,88279,88279,898350
02/24/2020,85303,87287,85303,86494,995910
02/25/2020,85303,86295,85105,85502,1229530
02/26/2020,85303,85303,83320,84312,1229250
02/27/2020,83320,83915,82229,83320,1227980
02/28/2020,79451,82724,79451,81733,2120080
03/02/2020,80840,81534,80641,81137,668980
03/03/2020,82824,82824,81534,81534,848270
03/04/2020,81336,81336,80344,81038,581530
03/05/2020,81534,82923,81534,82427,833710
03/06/2020,82328,85006,81336,83816,884750
03/09/2020,78360,80245,77963,77963,1423000
03/10/2020,77368,79253,74789,79253,2267240
03/11/2020,79749,79749,73797,76376,1996560
03/12/2020,71417,72409,71119,71119,1602400
03/13/2020,66160,72409,66160,70425,1959750
03/16/2020,70425,70425,65961,66556,1247540
03/17/2020,63085,66953,63085,66953,1384590
03/18/2020,67449,70127,67449,68739,1603360
03/19/2020,66755,68144,65465,65465,1231150
03/20/2020,65465,65763,61002,61002,3603360
03/25/2020,59514,61498,59216,61498,1835730
03/26/2020,61498,64176,61002,62688,2035590
03/27/2020,63382,65366,61994,63581,1849620
03/30/2020,59613,60903,59316,60506,2155700
03/31/2020,61101,63581,59514,61498,9575
04/01/2020,61101,65366,61002,64474,1298320
04/03/2020,64474,65763,63482,64969,1726690
04/06/2020,66953,67747,65465,67449,2111200
04/07/2020,67449,68441,66259,67648,1842570
04/08/2020,66457,67648,66259,66953,1778380
04/09/2020,67449,71417,67449,70425,2243720
04/10/2020,70425,71318,69036,70028,1674380
04/13/2020,70028,71218,69433,70227,1046830
04/14/2020,69929,70227,67251,69334,1964570
04/15/2020,69135,70722,69135,70326,1117740
04/16/2020,69433,70623,69235,70623,1110050
04/17/2020,70921,71218,70326,70822,1829140
04/21/2020,70425,70921,67251,70921,2212110
04/22/2020,68441,70524,68441,68739,1668290
04/23/2020,70425,70425,68243,68639,1201610
04/24/2020,68639,69036,66953,68342,1227270
04/27/2020,69334,69334,66259,66259,2603060
04/28/2020,66259,67945,64672,66457,2052860
04/29/2020,66457,67548,66457,67449,1629760
05/04/2020,67449,67548,66259,66854,902600
05/05/2020,66755,67152,66259,66259,1007640
05/06/2020,66755,67152,65961,67052,855770
05/07/2020,67251,69135,67152,69135,1936540
05/08/2020,69433,73599,69235,72905,3865590
05/11/2020,72905,73897,71913,73897,1696160
05/12/2020,73996,75384,73797,74988,2199500
05/13/2020,74988,75880,71417,74988,1851970
05/14/2020,74393,75781,74293,75384,2121750
05/15/2020,75781,75880,74988,75384,1596240
05/18/2020,75682,78360,75186,77864,1002690
05/19/2020,79253,79451,78162,78360,1129270
05/20/2020,77765,79054,77765,78955,710200
05/21/2020,79352,80542,78955,80542,1425500
05/22/2020,80542,80641,79352,80344,805710
05/25/2020,80245,80641,80146,80443,708710
05/26/2020,80344,81931,80344,81832,740930
05/27/2020,82328,83716,82229,82229,817770
05/28/2020,82328,84411,82328,83816,1849310
05/29/2020,84312,85303,83816,84510,1161180
06/01/2020,84807,85998,84807,85799,725310
06/02/2020,86196,86196,85601,85899,1009040
06/03/2020,86295,87188,86196,87188,462750
06/04/2020,87287,88279,87287,88279,450240
06/05/2020,88378,88577,86295,88279,810570
06/08/2020,88279,89469,87684,88676,802240
06/09/2020,89172,89271,88676,88775,417690
06/10/2020,88775,89073,88577,88874,793590
06/11/2020,88775,88874,86295,87287,1163900
06/12/2020,81832,85799,81832,84907,1612920
06/15/2020,84907,85105,81137,81336,1218540
06/16/2020,83320,83320,81733,83022,802980
06/17/2020,84312,84510,83121,83518,737830
06/18/2020,83320,85799,83220,84312,1809780
06/19/2020,84312,85303,84312,84708,723970
06/22/2020,84807,84907,84312,84807,1308600
06/23/2020,84807,86295,84609,85303,917230
06/24/2020,85303,85303,83419,84014,710160
06/25/2020,82030,83716,82030,83022,506650
06/26/2020,83419,84014,82328,82625,355930
06/29/2020,82625,82625,80443,80840,594140
